hs_diploma,hispanic,white,black,employed,married,male,days_21,perc_days_drink,drinks_alcohol,student
0,1,0,0,1,1,1,1601,0.547945205479452,0,0
1,1,0,0,1,0,0,1024,1.095890410958904,1,0
1,0,0,1,1,0,0,2455,6.575342465753424,1,0
0,1,0,0,1,0,1,-590,0,0,0
0,1,0,0,0,1,0,1815,0,0,0
1,0,0,1,1,1,0,2424,0,0,0
1,0,0,1,1,0,0,1116,3.287671232876712,1,0
1,0,0,1,1,0,0,2942,0.547945205479452,0,0
1,1,0,0,1,0,0,2516,3.287671232876712,1,0
1,0,0,1,1,0,0,2516,56.986301369863014,1,0
1,0,0,1,1,0,0,171,0,0,0
1,0,0,1,1,0,1,2240,3.287671232876712,1,0
1,0,0,1,0,0,0,871,0.547945205479452,0,1
1,1,0,0,1,0,0,1024,0,0,0
1,0,0,0,0,1,0,2485,42.73972602739726,1,0
1,0,1,0,0,0,0,1055,6.575342465753424,1,1
1,1,0,0,0,0,0,-559,0,0,1
1,0,1,0,1,0,0,414,0.547945205479452,0,0
1,1,0,0,1,0,0,-133,0.547945205479452,0,0
1,0,0,1,1,1,0,-72,0,1,0
1,0,0,1,0,0,1,-225,0,0,0
0,1,0,0,1,1,0,2636,0.273972602739726,1,0
1,0,0,1,0,0,0,1693,14.246575342465754,1,0
1,0,0,1,0,1,1,2516,0.547945205479452,0,0
1,1,0,0,0,0,0,414,14.246575342465754,1,0
1,1,0,0,1,0,1,3123,14.246575342465754,1,0
1,1,0,0,1,0,1,-925,0,0,0
1,1,0,0,1,1,1,1511,14.246575342465754,1,0
0,1,0,0,0,1,0,1419,0,0,0
1,1,0,0,1,0,1,-741,42.73972602739726,1,0
0,1,0,0,1,1,1,3184,0,0,0
0,0,0,1,1,1,1,1631,1.095890410958904,1,0
0,0,0,1,0,0,0,2515,0,0,0
0,0,0,1,0,0,0,1266,3.287671232876712,1,0
0,0,1,0,1,1,1,2637,14.246575342465754,1,0
0,0,0,1,0,1,1,3123,1.643835616438356,0,0
1,1,0,0,0,0,0,-772,0,0,0
1,1,0,0,1,0,0,445,0,1,0
0,1,0,0,1,1,1,2393,3.287671232876712,1,0
0,1,0,0,1,0,1,2058,14.246575342465754,1,0
0,1,0,0,1,1,1,811,0,0,0
1,1,0,0,0,1,0,2484,0,0,0
1,0,0,1,1,0,0,170,0,0,0
1,0,0,1,1,0,1,2393,0.547945205479452,0,0
0,0,0,0,0,0,0,1845,1.643835616438356,1,0
0,1,0,0,1,0,1,1631,0,1,0
1,1,0,0,0,0,1,-164,14.246575342465754,1,0
1,0,1,0,1,0,1,231,0,0,0
0,1,0,0,1,1,1,2515,14.246575342465754,1,0
1,1,0,0,0,1,1,1692,3.287671232876712,1,0
0,1,0,0,1,1,0,1419,0,0,0
1,0,0,1,1,0,0,1541,0,0,0
0,1,0,0,1,1,1,2819,6.575342465753424,1,0
1,1,0,0,1,1,1,2362,14.246575342465754,1,0
1,0,0,1,1,0,0,80,6.575342465753424,1,0
0,1,0,0,0,0,0,720,0,0,0
1,1,0,0,1,0,1,-73,0,0,0
0,1,0,0,0,0,1,1692,14.246575342465754,1,0
0,1,0,0,0,0,0,1327,3.287671232876712,1,1
1,0,0,1,1,0,0,2941,71.23287671232876,1,0
1,0,0,1,0,0,1,2423,71.23287671232876,1,0
1,1,0,0,1,0,0,323,0.273972602739726,0,0
0,1,0,0,1,1,1,2485,6.575342465753424,1,0
0,1,0,0,0,0,0,2058,0,0,0
1,0,0,1,1,0,1,2211,99.72602739726028,1,0
0,1,0,0,1,1,1,2699,0.547945205479452,1,0
1,0,0,1,1,0,0,1327,0,1,0
0,1,0,0,1,0,0,203,0.547945205479452,0,0
1,1,0,0,1,1,1,2788,99.72602739726028,1,0
1,1,0,0,1,0,0,354,1.095890410958904,1,0
0,1,0,0,0,0,0,1542,3.287671232876712,1,0
0,1,0,0,0,0,0,-954,0,0,1
1,1,0,0,0,1,0,2089,0,0,0
0,1,0,0,1,1,1,1054,71.23287671232876,1,0
1,0,1,0,1,1,0,2850,28.493150684931507,1,0
1,1,0,0,1,1,1,993,0,0,0
0,1,0,0,0,1,0,1692,0,0,0
1,0,0,1,1,1,0,-284,0,0,0
0,0,0,1,0,0,1,-1015,0,0,1
1,0,0,1,1,0,0,-103,0,0,0
1,1,0,0,0,0,1,2242,28.493150684931507,1,0
1,0,0,1,1,0,0,384,0,0,0
1,0,0,1,1,0,0,1937,0,0,0
1,1,0,0,0,0,0,-376,0,0,0
0,1,0,0,0,0,0,628,28.493150684931507,1,1
1,1,0,0,1,0,1,-1138,4.10958904109589,1,0
0,1,0,0,0,1,0,1115,0,0,0
0,0,0,1,0,0,0,-346,0,0,0
0,1,0,0,0,1,0,2454,1.095890410958904,1,0
0,1,0,0,0,1,0,720,0.547945205479452,0,0
1,1,0,0,0,0,0,415,0.547945205479452,0,1
1,1,0,0,1,1,1,2515,0,0,0
1,1,0,0,1,0,0,-711,0,0,0
0,1,0,0,1,1,1,812,3.287671232876712,1,0
1,1,0,0,0,1,0,476,3.287671232876712,1,0
0,1,0,0,0,1,0,812,0.821917808219178,1,0
0,0,0,1,0,0,1,-864,0,0,0
1,1,0,0,1,0,1,-216,100,1,0
0,1,0,0,0,0,0,331,0,0,0
0,0,0,1,0,0,1,-612,6.575342465753424,1,0
0,1,0,0,1,1,1,2098,6.575342465753424,1,0
0,1,0,0,1,0,1,1671,6.575342465753424,1,0
0,1,0,0,0,0,0,2584,0,0,0
0,1,0,0,1,1,1,1457,0.821917808219178,0,0
1,0,0,0,1,1,0,2522,0.547945205479452,0,0
1,1,0,0,1,1,0,2949,42.73972602739726,1,0
1,0,1,0,1,1,1,1854,1.643835616438356,1,0
1,1,0,0,1,0,1,1641,14.246575342465754,1,0
1,1,0,0,1,0,0,-35,0,0,0
0,0,0,0,1,0,1,2918,0,0,0
0,0,0,1,1,0,0,-1038,0,0,0
1,0,0,1,1,0,1,2219,28.493150684931507,1,0
1,0,0,1,1,0,0,515,0,0,0
1,1,0,0,1,0,0,2280,14.246575342465754,1,0
0,1,0,0,0,1,1,2249,3.287671232876712,1,0
0,1,0,0,1,1,1,1763,28.493150684931507,1,0
1,1,0,0,1,0,1,2157,1.36986301369863,1,0
1,0,1,0,1,1,0,1854,3.287671232876712,1,0
1,0,0,1,1,0,1,1426,0,0,0
0,1,0,0,1,1,1,758,0,0,0
1,0,0,1,1,1,0,2522,3.287671232876712,1,0
0,0,1,0,0,0,0,1884,0.547945205479452,1,0
0,0,0,1,1,0,0,1457,0,0,0
0,0,1,0,1,1,1,972,0.273972602739726,1,0
0,1,0,0,1,1,1,2859,0.547945205479452,0,0
1,1,0,0,1,1,1,758,6.575342465753424,1,0
1,0,0,1,1,1,0,1549,1.36986301369863,0,0
1,0,0,1,0,1,0,1823,0,0,0
1,0,0,1,0,0,0,-977,0,0,0
1,0,0,1,0,0,0,-885,0,0,1
0,1,0,0,1,1,1,1001,3.287671232876712,1,0
0,1,0,0,1,0,1,1213,6.575342465753424,1,0
1,1,0,0,1,0,1,452,0,0,0
0,1,0,0,0,0,0,-95,0,0,1
1,1,0,0,1,0,1,1913,0.547945205479452,1,0
1,1,0,0,1,0,1,-491,0.821917808219178,0,0
1,1,0,0,1,0,0,-552,0,0,0
1,0,0,1,1,0,1,2188,0,0,0
0,1,0,0,0,1,0,1853,0,0,0
1,0,0,0,0,0,0,878,6.575342465753424,1,0
0,0,0,1,0,0,0,-644,0,0,1
0,1,0,0,0,0,0,483,0,0,1
0,1,0,0,0,1,0,1031,0,0,0
0,1,0,0,0,1,0,-522,0,0,0
0,1,0,0,0,0,0,300,0,0,0
0,1,0,0,1,0,0,2431,0,0,0
0,1,0,0,0,0,0,1396,0,0,0
1,0,0,1,0,0,1,-795,0,0,1
0,1,0,0,0,1,0,117,0,0,0
1,1,0,0,1,1,1,3130,13.150684931506849,1,0
1,0,0,1,1,0,1,2431,0,0,0
1,0,0,1,1,0,0,1031,14.246575342465754,1,0
1,1,0,0,1,0,1,-279,6.575342465753424,1,0
1,0,0,1,1,0,1,2857,28.493150684931507,1,0
1,1,0,0,1,0,0,-95,2.191780821917808,0,0
0,1,0,0,0,0,0,-522,0,0,0
1,0,0,1,0,0,0,1243,4.10958904109589,1,0
1,0,1,0,1,0,1,2278,0,0,0
0,0,0,1,1,0,1,-856,2.4657534246575343,1,0
1,1,0,0,0,1,0,1273,14.246575342465754,1,0
0,1,0,0,1,0,0,2400,1.643835616438356,0,0
1,1,0,0,1,0,1,877,0,0,0
0,1,0,0,1,1,1,2795,0,0,0
1,1,0,0,1,0,1,635,0.547945205479452,0,0
1,1,0,0,1,0,1,1030,0,0,0
1,1,0,0,1,0,0,2887,0,0,0
1,1,0,0,0,1,1,969,0,0,1
1,1,0,0,0,0,0,1273,0,1,1
0,1,0,0,0,0,0,-826,0.547945205479452,1,0
1,1,0,0,1,0,1,-826,14.246575342465754,1,0
1,1,0,0,1,0,0,3130,0.547945205479452,0,0
1,0,0,1,1,0,1,1426,0,0,0
0,1,0,0,0,1,1,-278,0,0,0
1,0,0,1,0,0,0,1791,6.575342465753424,1,0
1,0,1,0,1,0,0,2553,0.547945205479452,0,0
1,0,0,1,1,0,0,696,6.575342465753424,1,0
1,0,0,1,1,1,1,1549,1.095890410958904,1,0
0,0,0,1,1,0,0,1518,28.493150684931507,1,0
1,0,0,1,0,0,0,483,3.287671232876712,1,0
0,1,0,0,1,0,1,2492,9.863013698630137,1,0
1,0,0,1,1,0,0,1761,6.575342465753424,1,0
1,0,0,1,1,1,1,2341,3.287671232876712,1,0
1,0,0,1,1,0,1,2218,6.575342465753424,1,0
1,0,0,1,1,0,1,1214,0.821917808219178,1,0
1,1,0,0,1,0,0,2310,14.246575342465754,1,0
1,1,0,0,1,0,0,2706,3.287671232876712,1,0
1,0,0,1,1,0,1,604,14.246575342465754,1,0
1,0,1,0,0,0,0,149,0,0,1
1,1,0,0,0,0,0,330,0,0,1
1,0,1,0,0,0,0,514,3.287671232876712,1,1
1,0,0,1,1,0,1,300,14.246575342465754,1,0
1,0,0,0,0,0,1,179,14.246575342465754,1,1
1,0,0,1,0,1,1,819,28.493150684931507,1,1
1,0,0,1,1,0,0,210,3.287671232876712,1,0
1,0,0,1,0,0,0,483,3.287671232876712,1,1
1,0,1,0,1,0,0,1791,14.246575342465754,1,0
1,0,0,1,0,0,0,635,6.575342465753424,1,0
0,0,0,1,0,0,0,514,14.246575342465754,1,0
0,1,0,0,1,0,1,1739,14.246575342465754,1,0
0,1,0,0,1,1,1,1770,6.575342465753424,1,0
0,1,0,0,1,0,1,2195,0,0,0
1,0,1,0,1,1,0,-696,0.547945205479452,1,0
1,1,0,0,0,0,1,2894,0.273972602739726,0,0
1,1,0,0,1,1,0,2226,3.287671232876712,1,0
1,0,1,0,1,0,0,278,0,0,0
1,1,0,0,0,0,0,1130,0,0,1
0,0,0,1,0,0,0,1252,0,0,0
1,0,0,1,1,0,0,3078,0,0,0
0,1,0,0,1,1,1,948,0,0,0
1,1,0,0,1,1,0,3170,0,0,0
0,0,0,1,0,0,0,-605,0,0,1
1,0,0,1,1,1,0,2956,0,0,0
0,1,0,0,1,0,1,95,3.287671232876712,1,0
0,1,0,0,0,0,0,-1092,6.575342465753424,1,1
0,1,0,0,0,0,0,-666,0,0,1
0,0,0,1,1,0,0,1374,14.246575342465754,1,0
0,1,0,0,0,0,0,-1092,6.575342465753424,1,0
1,1,0,0,1,0,1,-87,0,0,0
1,0,0,1,1,0,0,2105,6.575342465753424,1,0
1,0,0,0,0,0,1,765,0,0,0
1,1,0,0,0,0,0,2042,0,0,0
1,0,0,1,1,0,0,2165,14.246575342465754,1,0
1,1,0,0,1,0,0,2073,0.821917808219178,1,0
0,1,0,0,1,1,1,368,0,0,0
0,1,0,0,0,0,0,2530,3.287671232876712,1,0
1,0,0,1,0,0,0,3015,0,0,0
0,0,0,1,0,0,0,-727,14.246575342465754,1,0
1,0,1,0,1,0,1,-241,3.287671232876712,1,0
1,1,0,0,1,0,0,-910,0,0,0
1,0,0,1,1,0,1,2499,0,0,0
1,1,0,0,0,0,0,1008,1.643835616438356,1,0
1,0,0,1,0,0,1,-392,28.493150684931507,1,0
1,1,0,0,1,0,0,3107,3.287671232876712,1,0
0,0,0,1,0,0,0,93,3.287671232876712,1,0
1,0,0,1,1,1,1,2925,6.575342465753424,1,0
0,1,0,0,0,1,0,2165,3.287671232876712,1,0
1,1,0,0,0,0,1,-392,0,0,1
0,1,0,0,0,0,0,3076,0,0,0
0,1,0,0,0,0,0,3107,0,0,0
1,1,0,0,1,1,0,2864,0.547945205479452,0,0
0,0,0,1,0,0,0,-910,0,0,1
1,0,0,1,1,1,0,1889,3.287671232876712,1,0
0,0,0,1,0,0,0,673,0,0,0
1,0,0,1,0,0,0,2104,0,0,0
1,1,0,0,1,1,0,459,0,0,0
0,1,0,0,1,0,1,1615,14.246575342465754,1,0
1,0,0,1,1,0,1,2925,1.643835616438356,0,0
